index,Date,HomeTeamId,AwayTeamId,HTR,FTR
6086,13/01/18,357.0,76.0,D,D
6087,13/01/18,332.0,342.0,A,A
6088,13/01/18,387.0,68.0,D,A
6089,13/01/18,715.0,71.0,D,H
6090,13/01/18,322.0,355.0,D,D
6091,13/01/18,349.0,341.0,D,H
6092,13/01/18,343.0,63.0,D,A
6093,13/01/18,384.0,1081.0,H,D
6094,13/01/18,351.0,58.0,A,A
6095,19/01/18,342.0,387.0,D,D
6096,20/01/18,58.0,357.0,H,H
6097,20/01/18,341.0,384.0,A,A
6098,20/01/18,68.0,356.0,A,A
6099,20/01/18,1081.0,332.0,H,D
6100,20/01/18,69.0,343.0,A,A
6101,20/01/18,355.0,402.0,D,A
6102,20/01/18,345.0,715.0,D,D
6103,20/01/18,71.0,322.0,H,H
6104,20/01/18,76.0,351.0,A,A
6105,27/01/18,357.0,63.0,H,A
6106,27/01/18,402.0,68.0,A,A
6107,27/01/18,387.0,69.0,H,H
6108,27/01/18,349.0,76.0,A,A
6109,30/01/18,332.0,71.0,H,H
6110,30/01/18,322.0,341.0,D,D
6111,30/01/18,343.0,345.0,D,D
6112,30/01/18,384.0,342.0,D,D
6113,30/01/18,351.0,1081.0,A,A
6114,30/01/18,356.0,58.0,D,A
6115,03/02/18,342.0,402.0,H,H
6116,03/02/18,63.0,351.0,D,H
6117,03/02/18,341.0,715.0,A,A
6118,03/02/18,68.0,343.0,H,H
6119,03/02/18,1081.0,322.0,H,H
6120,03/02/18,69.0,357.0,D,H
6121,03/02/18,355.0,384.0,D,A
6122,03/02/18,345.0,332.0,A,A
6123,03/02/18,71.0,349.0,A,A
6124,03/02/18,76.0,356.0,H,H
6125,09/02/18,384.0,715.0,D,D
6126,10/02/18,357.0,345.0,D,D
6127,10/02/18,402.0,1081.0,D,D
6128,10/02/18,387.0,71.0,H,D
6129,10/02/18,342.0,68.0,H,D
6130,10/02/18,343.0,355.0,H,H
6131,10/02/18,351.0,322.0,A,A
6132,10/02/18,356.0,341.0,H,H
6133,10/02/18,76.0,69.0,H,H
6134,11/02/18,58.0,332.0,D,H
6135,13/02/18,345.0,342.0,H,H
6136,17/02/18,332.0,384.0,D,A
6137,17/02/18,715.0,343.0,H,H
6138,17/02/18,63.0,58.0,D,H
6139,17/02/18,1081.0,76.0,D,D
6140,17/02/18,71.0,402.0,A,A
6141,18/02/18,341.0,387.0,A,D
6142,18/02/18,68.0,349.0,D,D
6143,20/02/18,58.0,1081.0,A,D
6144,20/02/18,402.0,332.0,H,H
6145,20/02/18,343.0,322.0,H,H
6146,20/02/18,384.0,345.0,A,H
6147,20/02/18,351.0,355.0,A,D
